id_commune;code_postal;commune
574;28130;MAINTENON
575;28110;LUCE
576;28130;CHARTAINVILLIERS
577;28300;ST PREST
578;28320;GAS
579;28700;AUNEAU-BLEURY-SAINT-SYMPHORIEN
580;28600;LUISANT
581;28300;JOUY
582;28190;COURVILLE SUR EURE
583;28200;CHATEAUDUN
584;28200;ST DENIS-LANNERAY
585;28100;DREUX
586;28500;VERNOUILLET
587;28210;LORMAYE
588;28210;NOGENT-LE-ROI
589;28260;ANET
590;28210;CHAUDON
591;28350;ST LUBIN DES JONCHERETS
592;28170;CHATEAUNEUF EN THYMERAIS
593;28380;ST REMY SUR AVRE
594;28210;COULOMBS
595;28400;NOGENT LE ROTROU
596;29000;QUIMPER
597;29100;DOUARNENEZ
598;29300;QUIMPERLE
599;29900;CONCARNEAU
600;29930;PONT-AVEN
601;29360;CLOHARS CARNOET
602;29200;BREST
603;29290;SAINT RENAN
604;29460;DIRINON
605;29800;LANDERNEAU
606;29470;PLOUGASTEL-DAOULAS
607;29570;CAMARET-SUR-MER
608;29160;CROZON
609;29550;SAINT-NIC
610;29600;MORLAIX
611;29400;LANDIVISIAU
612;29660;CARANTEC
613;29600;SAINT-MARTIN-DES-CHAMPS
614;29630;PLOUGASNOU
615;29680;ROSCOFF
616;20137;PORTO-VECCHIO
617;20000;AJACCIO
618;20110;PROPRIANO
619;20090;AJACCIO
620;20100;SARTENE
621;20144;ZONZA
622;20169;BONIFACIO
623;20128;GROSSETO-PRUGNA
624;20137;LECCI
625;20110;ARBELLARA
626;20166;PIETROSELLA
627;20166;GROSSETO-PRUGNA
628;20160;VICO
629;20111;CASAGLIONE
630;20167;SARROLA-CARCOPINO
631;20140;ARGIUSTA-MORICCIO
632;20166;ALBITRECCIA
633;20140;SERRA-DI-FERRO
634;20117;CAURO
635;20134;PALNECA
636;20167;APPIETTO
637;20111;CALCATOGGIO
638;20131;PIANOTTOLI-CALDARELLO
639;20150;OTA
640;20110;BELVEDERE-CAMPOMORO
641;20146;SOTTA
642;20145;SARI-SOLENZARA
643;20000;LECCI
644;20113;OLMETO
645;20138;COTI-CHIAVARI
646;20140;CASALABRIVA
647;20163;TAVERA
648;20118;VICO
649;20122;QUENZA
650;20129;BASTELICACCIA
651;20115;PIANA
652;20118;COGGIA
653;20157;FRASSETO
654;20167;CUTTOLI-CORTICCHIATO
655;20190;SANTA-MARIA-SICHE
656;20160;COGGIA
657;20128;ALBITRECCIA
658;20110;VIGGIANELLO
659;00000;AJACCIO
660;20220;AREGNO
661;20220;L'ILE ROUSSE
662;20221;CERVIONE
663;20232;OLETTA
664;30240;LE GRAU DU ROI
665;30220;AIGUES-MORTES
666;30900;NIMES
667;30000;NIMES
668;30420;CALVISSON
669;30170;DURFORT-ET-SAINT-MARTIN-DE-
670;30600;VAUVERT
671;30132;CAISSARGUES
672;30540;MILHAUD
673;30870;CLARENSAC
674;30230;BOUILLARGUES
675;30128;GARONS
676;30250;SOMMIERES
677;30940;SAINT ANDRE DE VALBORGNE
678;30660;GALLARGUES-LE-MONTUEUX
679;30620;BERNIS
680;30670;AIGUES-VIVES
681;30980;SAINT-DIONISY
682;30190;GARRIGUES SAINTE EULALIE
683;30610;SAUVE
684;30190;LA CALMETTE
685;30460;LASALLE
686;30220;SAINT-LAURENT-D AIGOUZE
687;30620;AUBORD
688;30470;AIMARGUES
689;30230;RODILHAN
690;30260;SARDAN
691;30920;CODOGNAN
692;30770;ARRIGAS
693;30260;QUISSAC
694;30190;SAINT-GENIES-DE-MALGOIRES
695;30820;CAVEIRAC
696;30120;LE VIGAN
697;30440;SUMENE
698;30170;ST HIPPOLYTE DU FORT
699;30700;UZES
700;30510;GENERAC
701;30290;LAUDUN-L ARDOISE
702;30127;BELLEGARDE
703;30300;BEAUCAIRE
704;30400;VILLENEUVE LES AVIGNON
705;30200;SAINT-NAZAIRE
706;30320;MARGUERITTES
707;30840;MEYNES
708;30650;ROCHEFORT-DU-GARD
709;30133;LES ANGLES
710;30210;REMOULINS
711;30320;POULX
712;30130;PONT ST ESPRIT
713;30800;ST GILLES
714;30210;CASTILLON-DU-GARD
715;30210;SAINT-HILAIRE-D OZILHAN
716;30130;SAINT-PAULET-DE-CAISSON
717;30210;SERNHAC
718;30200;BAGNOLS SUR CEZE
719;30650;SAZE
720;30700;MONTAREN-ET-SAINT-MEDIERS
721;30490;MONTFRIN
722;30150;ROQUEMAURE
723;30100;ALES
